col,oRG,EN,IPC-EN,IN,RG,Microglia,Vascular,OPC
ALDH1A3,0.0,0.0002048307271158231,0.0,0.00048035147647951856,0.0,0.0,0.003514719448073551,0.0
ALDH2,0.499693400001955,0.6193426588109346,0.4337219935536658,0.20754329712619946,0.29982703124572674,0.19106052260263579,0.24297774125982236,0.16490849337098684
ALDH3A1,0.004859812234096413,0.00036869530880848155,0.0014414312561149905,0.00048035147647951856,0.003332891822353112,0.00098179487331437,0.0,0.0
ALDH3A2,0.6400043313536664,0.5582520775173195,0.4935009384272282,0.3609175728665932,0.44187080391134564,0.14596985487522326,0.13679541476404505,0.1734752812055274
ALDH4A1,0.15943555695075143,0.05880238971905912,0.08595707586996787,0.030869625520450625,0.12591111049645745,0.026842124570015988,0.047226092931448034,0.04590378679204936
ALDH5A1,0.34707479769051014,0.18749514793169617,0.06812937050719667,0.06189310761604635,0.18374987115260227,0.04410695060064947,0.039789748699442684,0.21412043656798477
ALDH6A1,0.6325540772358129,0.1212346214977965,0.26599606858548874,0.092364005385351,0.45112482088034045,0.07815530227439405,0.061932185871192286,0.1576329153003371
ALDH7A1,0.4202299910137112,0.25712523758050565,0.43954129626243654,0.10705553728064314,0.3633104787465018,0.056870283953736285,0.10754982440882307,0.1549477159088923
ALDH9A1,0.8357995034942534,0.30908193200002293,0.451463860721728,0.136105843536588,0.5713249083618352,0.18173649281324503,0.22161364992591076,0.22587462596454183
ALDOC,0.3534888136769378,0.1023847347637699,0.06376445261766996,0.008727950301964932,0.09343918701823231,0.06153860812654695,0.060804351100558644,0.08566462829606616
ALOX5AP,0.00023608555196183423,0.0002457968725389877,0.0003292860715249146,0.0,0.00054772594275776,0.13457977885006253,0.0,0.0
ALOXE3,0.0,0.015578778352029046,0.000987858214574744,0.004604150889222226,0.00054772594275776,0.0,0.0009804061959829496,0.0
ALYREF,0.47897284893914555,0.2629984201442266,0.6085386540967233,0.18653245858693515,0.47838133360114876,0.09925589346239606,0.12469734936371679,0.12818546393734737
ANK1,0.017336845124899913,0.12913721899575542,0.014663082377612354,0.010169004731403489,0.010293129509611275,0.02741643775430518,0.011764874351795393,0.01836151471681974
ANO10,0.24886072881493965,0.4648131016131686,0.24427937825241042,0.22916756396448154,0.18675700981430954,0.09328970706313479,0.20324381276347084,0.15989070726702975
ANP32A,0.37611978307348576,0.5852913771290957,0.6262041478950423,0.21644059909387253,0.33315017315808115,0.155643278567732,0.178547572055425,0.14005142068720206
